osmid,longitude,latitude
1,-76.687059,39.262780
2,-76.674734,39.296053
3,-76.614685,39.207970
4,-76.533192,39.119901
5,-76.633174,39.145891
6,-76.764035,39.096265
7,-76.877315,39.181364
8,-77.039143,39.335971
9,-76.827435,39.446921
10,-76.585954,38.991439
11,-76.315899,39.455706
12,-76.640075,39.422282
13,-76.566219,39.402564
14,-76.514705,39.370251
15,-76.457543,39.318900
16,-76.560595,39.298215
17,-76.595366,39.328782
18,-76.553961,39.273289
19,-76.508962,39.261353
20,-76.462910,39.239241







